date,mdnghtstor
2008-10-01,3560.0
2008-10-02,3520.0
2008-10-03,3640.0
2008-10-04,3670.0
2008-10-05,3650.0
2008-10-06,3670.0
2008-10-07,3780.0
2008-10-08,3860.0
2008-10-09,3780.0
2008-10-10,3800.0
2008-10-11,3760.0
2008-10-12,3800.0
2008-10-13,3860.0
2008-10-14,3240.0
2008-10-15,3270.0
2008-10-16,3250.0
2008-10-17,3260.0
2008-10-18,3280.0
2008-10-19,3310.0
2008-10-20,3340.0
2008-10-21,3370.0
2008-10-22,3410.0
2008-10-23,3420.0
2008-10-24,3490.0
2008-10-25,3540.0
2008-10-26,3560.0
2008-10-27,3590.0
2008-10-28,3570.0
2008-10-29,3580.0
2008-10-30,3530.0
2008-10-31,3540.0
2008-11-01,3500.0
2008-11-02,3720.0
2008-11-03,3870.0
2008-11-04,3790.0
2008-11-05,3620.0
2008-11-06,3700.0
2008-11-07,3740.0
2008-11-08,3840.0
2008-11-09,3610.0
2008-11-10,3640.0
2008-11-11,3620.0
2008-11-12,3840.0
2008-11-13,3720.0
2008-11-14,3590.0
2008-11-15,3570.0
2008-11-16,3620.0
2008-11-17,3620.0
2008-11-18,3640.0
2008-11-19,3470.0
2008-11-20,3520.0
2008-11-21,3640.0
2008-11-22,3520.0
2008-11-23,3610.0
2008-11-24,3660.0
2008-11-25,3700.0
2008-11-26,3790.0
2008-11-27,3740.0
2008-11-28,3540.0
2008-11-29,3620.0
2008-11-30,3450.0
2008-12-01,3640.0
2008-12-02,3740.0
2008-12-03,3650.0
2008-12-04,3560.0
2008-12-05,3600.0
2008-12-06,3530.0
2008-12-07,3460.0
2008-12-08,3500.0
2008-12-09,3450.0
2008-12-10,3580.0
2008-12-11,3740.0
2008-12-12,3510.0
2008-12-13,3610.0
2008-12-14,3550.0
2008-12-15,3580.0
2008-12-16,3660.0
2008-12-17,3690.0
2008-12-18,3690.0
2008-12-19,3630.0
2008-12-20,3660.0
2008-12-21,3590.0
2008-12-22,3670.0
2008-12-23,3720.0
2008-12-24,3540.0
2008-12-25,3650.0
2008-12-26,3600.0
2008-12-27,3660.0
2008-12-28,3620.0
2008-12-29,3620.0
2008-12-30,3600.0
2008-12-31,3610.0
2009-01-01,3630.0
2009-01-02,3640.0
2009-01-03,3660.0
2009-01-04,3570.0
2009-01-05,3800.0
2009-01-06,3680.0
2009-01-07,3570.0
2009-01-08,3610.0
2009-01-09,3670.0
2009-01-10,3590.0
2009-01-11,3490.0
2009-01-12,3660.0
2009-01-13,3610.0
2009-01-14,3620.0
2009-01-15,3630.0
2009-01-16,3600.0
2009-01-17,3750.0
2009-01-18,3480.0
2009-01-19,3470.0
2009-01-20,3630.0
2009-01-21,3540.0
2009-01-22,3520.0
2009-01-23,3590.0
2009-01-24,4080.0
2009-01-25,3790.0
2009-01-26,3670.0
2009-01-27,3570.0
2009-01-28,3540.0
2009-01-29,3450.0
2009-01-30,3500.0
2009-01-31,3430.0
2009-02-01,3620.0
2009-02-02,3530.0
2009-02-03,3490.0
2009-02-04,3630.0
2009-02-05,3550.0
2009-02-06,3460.0
2009-02-07,3550.0
2009-02-08,3550.0
2009-02-09,3680.0
2009-02-10,3460.0
2009-02-11,3550.0
2009-02-12,4000.0
2009-02-13,3590.0
2009-02-14,3470.0
2009-02-15,3720.0
2009-02-16,3840.0
2009-02-17,3570.0
2009-02-18,3490.0
2009-02-19,3700.0
2009-02-20,3700.0
2009-02-21,3710.0
2009-02-22,3660.0
2009-02-23,3630.0
2009-02-24,3430.0
2009-02-25,3650.0
2009-02-26,3880.0
2009-02-27,3460.0
2009-02-28,3740.0
2009-03-01,3880.0
2009-03-02,3620.0
2009-03-03,3520.0
2009-03-04,3950.0
2009-03-05,3670.0
2009-03-06,3720.0
2009-03-07,3680.0
2009-03-08,3630.0
