date,mdnghtstor
10/1/2018,2420
10/2/2018,2370
10/3/2018,2370
10/4/2018,2350
10/5/2018,2340
10/6/2018,2340
10/7/2018,2340
10/8/2018,2360
10/9/2018,2350
10/10/2018,2360
10/11/2018,2390
10/12/2018,2370
10/13/2018,2350
10/14/2018,2350
10/15/2018,2370
10/16/2018,2380
10/17/2018,2370
10/18/2018,2380
10/19/2018,2380
10/20/2018,2380
10/21/2018,2360
10/22/2018,2370
10/23/2018,2360
10/24/2018,2360
10/25/2018,2370
10/26/2018,2370
10/27/2018,2330
10/28/2018,2340
10/29/2018,2360
10/30/2018,2320
10/31/2018,2370
11/1/2018,2360
11/2/2018,2350
11/3/2018,2340
11/4/2018,2360
11/5/2018,2340
11/6/2018,2350
11/7/2018,2320
11/8/2018,2340
11/9/2018,2340
11/10/2018,2340
11/11/2018,2340
11/12/2018,2360
11/13/2018,2370
11/14/2018,2370
11/15/2018,2340
11/16/2018,2360
11/17/2018,2350
11/18/2018,2320
11/19/2018,2320
11/20/2018,2350
11/21/2018,2310
11/22/2018,2340
11/23/2018,2340
11/24/2018,2340
11/25/2018,2340
11/26/2018,2350
11/27/2018,2360
11/28/2018,2260
11/29/2018,2350
11/30/2018,2360
12/1/2018,1890
12/2/2018,1720
12/3/2018,1780
12/4/2018,1680
12/5/2018,1780
12/6/2018,1810
12/7/2018,1850
12/8/2018,1860
12/9/2018,2060
12/10/2018,1990
12/11/2018,1760
12/12/2018,1770
12/13/2018,1910
12/14/2018,1820
12/15/2018,1940
12/16/2018,1930
12/17/2018,1860
12/18/2018,1860
12/19/2018,1860
12/20/2018,1730
12/21/2018,1800
12/22/2018,1880
12/23/2018,1830
12/24/2018,1810
12/25/2018,1870
12/26/2018,1910
12/27/2018,1940
12/28/2018,1940
12/29/2018,1930
12/30/2018,1890
12/31/2018,1810
1/1/2019,2160
1/2/2019,2030
1/3/2019,2110
1/4/2019,2040
1/5/2019,1880
1/6/2019,1910
1/7/2019,1690
1/8/2019,1670
1/9/2019,1830
1/10/2019,1850
1/11/2019,1810
1/12/2019,1940
1/13/2019,2090
1/14/2019,2130
1/15/2019,1940
1/16/2019,2030
1/17/2019,1720
1/18/2019,1700
1/19/2019,1760
1/20/2019,1960
1/21/2019,1780
1/22/2019,2000
1/23/2019,1870
1/24/2019,1720
1/25/2019,1980
1/26/2019,1850
1/27/2019,1870
1/28/2019,1790
1/29/2019,1810
1/30/2019,1840
1/31/2019,1890
2/1/2019,1810
2/2/2019,2200
2/3/2019,1890
2/4/2019,1990
2/5/2019,1760
2/6/2019,1820
2/7/2019,1820
2/8/2019,1750
2/9/2019,2010
2/10/2019,1890
2/11/2019,1880
2/12/2019,1840
2/13/2019,1940
2/14/2019,2190
2/15/2019,1780
2/16/2019,1840
2/17/2019,2080
2/18/2019,1820
2/19/2019,1810
2/20/2019,1660
2/21/2019,1790
2/22/2019,1970
2/23/2019,1960
2/24/2019,1860
