date,mdnghtstor
2011-10-01,3700.0
2011-10-02,3900.0
2011-10-03,3670.0
2011-10-04,3580.0
2011-10-05,3590.0
2011-10-06,3500.0
2011-10-07,3680.0
2011-10-08,3560.0
2011-10-09,3530.0
2011-10-10,3540.0
2011-10-11,3650.0
2011-10-12,3590.0
2011-10-13,3590.0
2011-10-14,3610.0
2011-10-15,3830.0
2011-10-16,3470.0
2011-10-17,3500.0
2011-10-18,3720.0
2011-10-19,3560.0
2011-10-20,3700.0
2011-10-21,3710.0
2011-10-22,3640.0
2011-10-23,3600.0
2011-10-24,3620.0
2011-10-25,3540.0
2011-10-26,3570.0
2011-10-27,3550.0
2011-10-28,3530.0
2011-10-29,4120.0
2011-10-30,4130.0
2011-10-31,4140.0
2011-11-01,4150.0
2011-11-02,4120.0
2011-11-03,4150.0
2011-11-04,4120.0
2011-11-05,4130.0
2011-11-06,4140.0
2011-11-07,4150.0
2011-11-08,4150.0
2011-11-09,4150.0
2011-11-10,4150.0
2011-11-11,4140.0
2011-11-12,4150.0
2011-11-13,4150.0
2011-11-14,4120.0
2011-11-15,4140.0
2011-11-16,4110.0
2011-11-17,4140.0
2011-11-18,4110.0
2011-11-19,4100.0
2011-11-20,4090.0
2011-11-21,4080.0
2011-11-22,4060.0
2011-11-23,4050.0
2011-11-24,4030.0
2011-11-25,4020.0
2011-11-26,4150.0
2011-11-27,4130.0
2011-11-28,4070.0
2011-11-29,3970.0
2011-11-30,3880.0
2011-12-01,3790.0
2011-12-02,4140.0
2011-12-03,4140.0
2011-12-04,4120.0
2011-12-05,4150.0
2011-12-06,4130.0
2011-12-07,4150.0
2011-12-08,4120.0
2011-12-09,4150.0
2011-12-10,4120.0
2011-12-11,3880.0
2011-12-12,3850.0
2011-12-13,3840.0
2011-12-14,3520.0
2011-12-15,3570.0
2011-12-16,3610.0
2011-12-17,3640.0
2011-12-18,3420.0
2011-12-19,3550.0
2011-12-20,3530.0
2011-12-21,3740.0
2011-12-22,4050.0
2011-12-23,3600.0
2011-12-24,3640.0
2011-12-25,3550.0
2011-12-26,3440.0
2011-12-27,3680.0
2011-12-28,3580.0
2011-12-29,3530.0
2011-12-30,3780.0
2011-12-31,3740.0
2012-01-01,3640.0
2012-01-02,3530.0
2012-01-03,3500.0
2012-01-04,3650.0
2012-01-05,3490.0
2012-01-06,3500.0
2012-01-07,3510.0
2012-01-08,3620.0
2012-01-09,3530.0
2012-01-10,3530.0
2012-01-11,3500.0
2012-01-12,3500.0
2012-01-13,3490.0
2012-01-14,3570.0
2012-01-15,3550.0
2012-01-16,3570.0
2012-01-17,3630.0
2012-01-18,3490.0
2012-01-19,3490.0
2012-01-20,3460.0
2012-01-21,3640.0
2012-01-22,3440.0
2012-01-23,3550.0
2012-01-24,3610.0
2012-01-25,3680.0
2012-01-26,3470.0
2012-01-27,3490.0
2012-01-28,3500.0
2012-01-29,3630.0
2012-01-30,3790.0
2012-01-31,3550.0
2012-02-01,3500.0
2012-02-02,3740.0
2012-02-03,3580.0
2012-02-04,3560.0
2012-02-05,3440.0
2012-02-06,3540.0
2012-02-07,3580.0
2012-02-08,3590.0
2012-02-09,3520.0
2012-02-10,3600.0
2012-02-11,3490.0
2012-02-12,3630.0
2012-02-13,3790.0
2012-02-14,3570.0
2012-02-15,3670.0
2012-02-16,3750.0
2012-02-17,3630.0
2012-02-18,3580.0
2012-02-19,3480.0
2012-02-20,3570.0
2012-02-21,3520.0
2012-02-22,3560.0
2012-02-23,3510.0
2012-02-24,3550.0
2012-02-25,3530.0
2012-02-26,3680.0
2012-02-27,3520.0
2012-02-28,3780.0
2012-02-29,3480.0
2012-03-01,3460.0
2012-03-02,3620.0
2012-03-03,3720.0
2012-03-04,3670.0
2012-03-05,3500.0
2012-03-06,3730.0
2012-03-07,3540.0
2012-03-08,3520.0
2012-03-09,3520.0
2012-03-10,3500.0
2012-03-11,3720.0
2012-03-12,3490.0
2012-03-13,3480.0
2012-03-14,3570.0
2012-03-15,3440.0
2012-03-16,3530.0
2012-03-17,3690.0
2012-03-18,3590.0
2012-03-19,3750.0
2012-03-20,3570.0
2012-03-21,3680.0
2012-03-22,3630.0
2012-03-23,3720.0
2012-03-24,3650.0
2012-03-25,3560.0
2012-03-26,3820.0
2012-03-27,3760.0
2012-03-28,3660.0
2012-03-29,3660.0
2012-03-30,3680.0
2012-03-31,3620.0
2012-04-01,3650.0
2012-04-02,3660.0
2012-04-03,3550.0
2012-04-04,3560.0
2012-04-05,3520.0
2012-04-06,3480.0
2012-04-07,3590.0
2012-04-08,3490.0
2012-04-09,3620.0
2012-04-10,3990.0
2012-04-11,3560.0
2012-04-12,3750.0
2012-04-13,3670.0
2012-04-14,3640.0
2012-04-15,3670.0
2012-04-16,3770.0
2012-04-17,3800.0
2012-04-18,3480.0
2012-04-19,3630.0
2012-04-20,3620.0
2012-04-21,4030.0
2012-04-22,3600.0
2012-04-23,3870.0
2012-04-24,3550.0
2012-04-25,3760.0
2012-04-26,4110.0
2012-04-27,3910.0
2012-04-28,3590.0
2012-04-29,3670.0
2012-04-30,3760.0
2012-05-01,3720.0
2012-05-02,3870.0
2012-05-03,3920.0
2012-05-04,3660.0
2012-05-05,3640.0
2012-05-06,3910.0
2012-05-07,3520.0
2012-05-08,3870.0
2012-05-09,3790.0
2012-05-10,3950.0
2012-05-11,3760.0
2012-05-12,3430.0
2012-05-13,3800.0
2012-05-14,3690.0
2012-05-15,3780.0
2012-05-16,3480.0
2012-05-17,3570.0
2012-05-18,3680.0
2012-05-19,3790.0
2012-05-20,3870.0
2012-05-21,3620.0
2012-05-22,3530.0
2012-05-23,3630.0
2012-05-24,3710.0
2012-05-25,3730.0
2012-05-26,3840.0
2012-05-27,3740.0
2012-05-28,3590.0
2012-05-29,3730.0
2012-05-30,3850.0
2012-05-31,3780.0
2012-06-01,3900.0
2012-06-02,3570.0
2012-06-03,3530.0
2012-06-04,3800.0
2012-06-05,3620.0
2012-06-06,3610.0
2012-06-07,3650.0
2012-06-08,3710.0
2012-06-09,3700.0
2012-06-10,3530.0
2012-06-11,3580.0
2012-06-12,3920.0
2012-06-13,3730.0
2012-06-14,3640.0
2012-06-15,3510.0
2012-06-16,3760.0
2012-06-17,3540.0
2012-06-18,3640.0
2012-06-19,3730.0
2012-06-20,3800.0
2012-06-21,3620.0
2012-06-22,3700.0
2012-06-23,3960.0
2012-06-24,3600.0
2012-06-25,3470.0
2012-06-26,3690.0
2012-06-27,3980.0
2012-06-28,3620.0
2012-06-29,3620.0
2012-06-30,3530.0
2012-07-01,3580.0
2012-07-02,3700.0
2012-07-03,3840.0
2012-07-04,3450.0
2012-07-05,3880.0
2012-07-06,3440.0
2012-07-07,3420.0
2012-07-08,3820.0
2012-07-09,3870.0
2012-07-10,3780.0
2012-07-11,3990.0
2012-07-12,3790.0
2012-07-13,3920.0
2012-07-14,3660.0
2012-07-15,3590.0
2012-07-16,3490.0
2012-07-17,3730.0
2012-07-18,3520.0
2012-07-19,3690.0
2012-07-20,3460.0
2012-07-21,3750.0
2012-07-22,3690.0
2012-07-23,3710.0
2012-07-24,3570.0
2012-07-25,3620.0
2012-07-26,3730.0
2012-07-27,3570.0
2012-07-28,3580.0
2012-07-29,3670.0
2012-07-30,3610.0
2012-07-31,3840.0
2012-08-01,3730.0
2012-08-02,3790.0
2012-08-03,3590.0
2012-08-04,3570.0
2012-08-05,3560.0
2012-08-06,3530.0
2012-08-07,3670.0
2012-08-08,3540.0
2012-08-09,3880.0
2012-08-10,4040.0
2012-08-11,3910.0
2012-08-12,4080.0
2012-08-13,3820.0
2012-08-14,3980.0
2012-08-15,3900.0
2012-08-16,3690.0
2012-08-17,3940.0
2012-08-18,3600.0
2012-08-19,3840.0
2012-08-20,3900.0
2012-08-21,4050.0
2012-08-22,3640.0
2012-08-23,4060.0
2012-08-24,3860.0
2012-08-25,3780.0
2012-08-26,3660.0
2012-08-27,3620.0
2012-08-28,3850.0
2012-08-29,4040.0
2012-08-30,3920.0
2012-08-31,3670.0
2012-09-01,3660.0
2012-09-02,3720.0
2012-09-03,3810.0
2012-09-04,3830.0
2012-09-05,3990.0
2012-09-06,3870.0
2012-09-07,3910.0
2012-09-08,3760.0
2012-09-09,3930.0
2012-09-10,3910.0
2012-09-11,3550.0
2012-09-12,3590.0
2012-09-13,3850.0
2012-09-14,3850.0
2012-09-15,3970.0
2012-09-16,3960.0
2012-09-17,3740.0
