date,mdnghtstor
10/1/2013,3970.0
10/2/2013,3690.0
10/3/2013,3580.0
10/4/2013,3580.0
10/5/2013,3940.0
10/6/2013,3830.0
10/7/2013,3680.0
10/8/2013,3790.0
10/9/2013,3810.0
10/10/2013,3850.0
10/11/2013,3920.0
10/12/2013,3670.0
10/13/2013,3500.0
10/14/2013,3520.0
10/15/2013,3530.0
10/16/2013,3600.0
10/17/2013,3690.0
10/18/2013,3770.0
10/19/2013,3860.0
10/20/2013,3970.0
10/21/2013,3810.0
10/22/2013,3820.0
10/23/2013,3890.0
10/24/2013,3900.0
10/25/2013,3620.0
10/26/2013,3870.0
10/27/2013,3520.0
10/28/2013,3460.0
10/29/2013,3710.0
10/30/2013,3490.0
10/31/2013,3550.0
11/1/2013,3580.0
11/2/2013,3630.0
11/3/2013,3890.0
11/4/2013,3880.0
11/5/2013,3490.0
11/6/2013,3480.0
11/7/2013,3410.0
11/8/2013,3450.0
11/9/2013,3430.0
11/10/2013,3470.0
11/11/2013,3500.0
11/12/2013,3430.0
11/13/2013,3450.0
11/14/2013,3450.0
11/15/2013,3450.0
11/16/2013,3470.0
11/17/2013,3470.0
11/18/2013,3490.0
11/19/2013,3490.0
11/20/2013,3500.0
11/21/2013,3540.0
11/22/2013,3570.0
11/23/2013,3590.0
11/24/2013,3600.0
11/25/2013,3580.0
11/26/2013,3630.0
11/27/2013,3590.0
11/28/2013,3680.0
11/29/2013,3640.0
11/30/2013,3540.0
12/1/2013,3460.0
12/2/2013,3450.0
12/3/2013,3490.0
12/4/2013,3570.0
12/5/2013,3430.0
12/6/2013,3440.0
12/7/2013,3470.0
12/8/2013,3480.0
12/9/2013,3500.0
12/10/2013,3640.0
12/11/2013,3950.0
12/12/2013,3560.0
12/13/2013,3480.0
12/14/2013,3490.0
12/15/2013,3780.0
12/16/2013,3460.0
12/17/2013,3760.0
12/18/2013,3610.0
12/19/2013,3580.0
12/20/2013,3500.0
12/21/2013,3810.0
12/22/2013,3600.0
12/23/2013,3870.0
12/24/2013,3620.0
12/25/2013,3880.0
