date,mdnghtstor
10/1/2017,3780
10/2/2017,3600
10/3/2017,3830
10/4/2017,3690
10/5/2017,3800
10/6/2017,3860
10/7/2017,3900
10/8/2017,3670
10/9/2017,3680
10/10/2017,3590
10/11/2017,3690
10/12/2017,3530
10/13/2017,3630
10/14/2017,3640
10/15/2017,3770
10/16/2017,3480
10/17/2017,3570
10/18/2017,3660
10/19/2017,3740
10/20/2017,3500
10/21/2017,3750
10/22/2017,3670
10/23/2017,3580
10/24/2017,3600
10/25/2017,3810
10/26/2017,3700
10/27/2017,3900
10/28/2017,3620
10/29/2017,3490
10/30/2017,3850
10/31/2017,3720
11/1/2017,3700
11/2/2017,3680
11/3/2017,3730
11/4/2017,3860
11/5/2017,4010
11/6/2017,3870
11/7/2017,3510
11/8/2017,3810
11/9/2017,3800
11/10/2017,3850
11/11/2017,3920
11/12/2017,3900
11/13/2017,3870
11/14/2017,3800
11/15/2017,3730
11/16/2017,4070
11/17/2017,4030
11/18/2017,3750
11/19/2017,3810
11/20/2017,4050
11/21/2017,3650
11/22/2017,3790
11/23/2017,3590
11/24/2017,3730
11/25/2017,3770
11/26/2017,4180
11/27/2017,4180
11/28/2017,4160
11/29/2017,4190
11/30/2017,4190
12/1/2017,4170
12/2/2017,4190
12/3/2017,4160
12/4/2017,4160
12/5/2017,4190
12/6/2017,4080
12/7/2017,4160
12/8/2017,4200
12/9/2017,3900
12/10/2017,3470
12/11/2017,3600
12/12/2017,3920
12/13/2017,4000
12/14/2017,4110
12/15/2017,3800
12/16/2017,3880
12/17/2017,3760
12/18/2017,3830
12/19/2017,3720
12/20/2017,3840
12/21/2017,3690
12/22/2017,3670
12/23/2017,3830
12/24/2017,3590
12/25/2017,3560
12/26/2017,3740
12/27/2017,3820
12/28/2017,3800
12/29/2017,3520
12/30/2017,3490
12/31/2017,3540
1/1/2018,3590
1/2/2018,3520
1/3/2018,3610
1/4/2018,3530
1/5/2018,3740
1/6/2018,3650
1/7/2018,3690
1/8/2018,3580
1/9/2018,3630
1/10/2018,3730
1/11/2018,3690
1/12/2018,3980
1/13/2018,3820
1/14/2018,3730
1/15/2018,3850
1/16/2018,3870
1/17/2018,3720
1/18/2018,3860
1/19/2018,3860
1/20/2018,3510
1/21/2018,3620
1/22/2018,3780
1/23/2018,3920
1/24/2018,3850
1/25/2018,3780
1/26/2018,3760
1/27/2018,3590
1/28/2018,3600
1/29/2018,3570
1/30/2018,3600
1/31/2018,3640
2/1/2018,3700
2/2/2018,3580
2/3/2018,3670
2/4/2018,3520
2/5/2018,3530
2/6/2018,3990
2/7/2018,3710
2/8/2018,3680
2/9/2018,3590
2/10/2018,3580
2/11/2018,3480
2/12/2018,3620
2/13/2018,3590
2/14/2018,3550
2/15/2018,3640
2/16/2018,3550
2/17/2018,3550
2/18/2018,3680
2/19/2018,3560
2/20/2018,3570
2/21/2018,3580
2/22/2018,3670
2/23/2018,3640
2/24/2018,3700
2/25/2018,3850
2/26/2018,3750
2/27/2018,3650
2/28/2018,3480
3/1/2018,3650
3/2/2018,4010
3/3/2018,3810
3/4/2018,3780
3/5/2018,3780
3/6/2018,3640
3/7/2018,3790
3/8/2018,3580
3/9/2018,3670
3/10/2018,3630
3/11/2018,3610
3/12/2018,3710
3/13/2018,3880
3/14/2018,3640
3/15/2018,3580
3/16/2018,3610
3/17/2018,3450
3/18/2018,3550
3/19/2018,3560
3/20/2018,3530
3/21/2018,3670
3/22/2018,3820
3/23/2018,4080
3/24/2018,4140
3/25/2018,4150
3/26/2018,4130
3/27/2018,4130
3/28/2018,4150
3/29/2018,4160
3/30/2018,3540
3/31/2018,3550
4/1/2018,3570
4/2/2018,3510
4/3/2018,3470
4/4/2018,4150
4/5/2018,4130
4/6/2018,3630
4/7/2018,3360
4/8/2018,3690
4/9/2018,4040
4/10/2018,4010
4/11/2018,4130
4/12/2018,3840
4/13/2018,3620
4/14/2018,3510
4/15/2018,3490
4/16/2018,3580
4/17/2018,3460
4/18/2018,3810
4/19/2018,3570
4/20/2018,3700
4/21/2018,3570
4/22/2018,3780
4/23/2018,3860
4/24/2018,4010
4/25/2018,3940
4/26/2018,3640
4/27/2018,4080
4/28/2018,3960
4/29/2018,3970
4/30/2018,3620
5/1/2018,3740
5/2/2018,3650
5/3/2018,3730
5/4/2018,3620
5/5/2018,3650
5/6/2018,3640
5/7/2018,4030
5/8/2018,3920
5/9/2018,3980
5/10/2018,4150
5/11/2018,3900
5/12/2018,3670
5/13/2018,3510
5/14/2018,3550
5/15/2018,3580
5/16/2018,3580
5/17/2018,3640
5/18/2018,3590
5/19/2018,3460
5/20/2018,3600
5/21/2018,3540
5/22/2018,3540
5/23/2018,3500
5/24/2018,3550
5/25/2018,3450
5/26/2018,3430
5/27/2018,3450
5/28/2018,3510
5/29/2018,3450
5/30/2018,3460
5/31/2018,3460
6/1/2018,3460
6/2/2018,3460
6/3/2018,3460
6/4/2018,3440
6/5/2018,3500
6/6/2018,3460
6/7/2018,3490
6/8/2018,3520
6/9/2018,3520
6/10/2018,3600
6/11/2018,3470
6/12/2018,3470
6/13/2018,3480
6/14/2018,3570
6/15/2018,3600
6/16/2018,3470
6/17/2018,3630
6/18/2018,3520
6/19/2018,3520
6/20/2018,3560
6/21/2018,3790
6/22/2018,3640
6/23/2018,3660
6/24/2018,3880
6/25/2018,3760
6/26/2018,3690
6/27/2018,3690
6/28/2018,3830
6/29/2018,3830
6/30/2018,3760
7/1/2018,3600
7/2/2018,3730
7/3/2018,3490
7/4/2018,3560
7/5/2018,3600
7/6/2018,3840
7/7/2018,3760
7/8/2018,3760
7/9/2018,3800
7/10/2018,3450
7/11/2018,3700
7/12/2018,3630
7/13/2018,3610
7/14/2018,3500
7/15/2018,3680
7/16/2018,3670
7/17/2018,3650
7/18/2018,3740
7/19/2018,3460
7/20/2018,3610
7/21/2018,3430
7/22/2018,3510
7/23/2018,3530
7/24/2018,3500
7/25/2018,3590
7/26/2018,3460
7/27/2018,3470
7/28/2018,3540
7/29/2018,3620
7/30/2018,3500
7/31/2018,3520
8/1/2018,3500
8/2/2018,3870
8/3/2018,3530
8/4/2018,3560
8/5/2018,3530
8/6/2018,3590
8/7/2018,3730
8/8/2018,3600
8/9/2018,3630
8/10/2018,3610
8/11/2018,3510
8/12/2018,3580
8/13/2018,3580
8/14/2018,3470
8/15/2018,3580
8/16/2018,3650
8/17/2018,3590
8/18/2018,3470
8/19/2018,3600
8/20/2018,3520
8/21/2018,3670
8/22/2018,3600
8/23/2018,3510
8/24/2018,3600
8/25/2018,3550
8/26/2018,3580
8/27/2018,3630
8/28/2018,3740
8/29/2018,3520
8/30/2018,3660
8/31/2018,3660
9/1/2018,3690
9/2/2018,3730
9/3/2018,3510
9/4/2018,3760
9/5/2018,3680
9/6/2018,3610
9/7/2018,3690
9/8/2018,3820
9/9/2018,3690
9/10/2018,3940
9/11/2018,3790
9/12/2018,3510
9/13/2018,3710
9/14/2018,3840
9/15/2018,3500
9/16/2018,3470
9/17/2018,3510
9/18/2018,3690
9/19/2018,3710
9/20/2018,3970
9/21/2018,3640
9/22/2018,3770
9/23/2018,3600
9/24/2018,3840
9/25/2018,3800
9/26/2018,3780
9/27/2018,3780
9/28/2018,3760
9/29/2018,3520
9/30/2018,3490
