date,mdnghtstor
10/1/2019,2190
10/2/2019,2130
10/3/2019,2150
10/4/2019,2260
10/5/2019,2090
10/6/2019,2080
10/7/2019,1910
10/8/2019,2010
10/9/2019,2300
10/10/2019,2200
10/11/2019,2160
10/12/2019,1980
10/13/2019,2050
10/14/2019,2280
10/15/2019,1850
10/16/2019,1760
10/17/2019,1990
10/18/2019,1770
10/19/2019,1910
10/20/2019,1800
10/21/2019,1790
10/22/2019,1990
10/23/2019,1920
10/24/2019,2180
10/25/2019,1790
10/26/2019,1790
10/27/2019,1200
10/28/2019,1310
10/29/2019,1790
10/30/2019,1920
10/31/2019,1870
11/1/2019,2230
11/2/2019,2240
11/3/2019,2280
11/4/2019,1840
11/5/2019,1820
11/6/2019,1930
11/7/2019,2070
11/8/2019,2190
11/9/2019,2090
11/10/2019,2150
11/11/2019,1820
11/12/2019,2140
11/13/2019,1710
11/14/2019,1970
11/15/2019,1740
11/16/2019,2070
11/17/2019,1780
11/18/2019,1920
11/19/2019,1840
11/20/2019,1780
11/21/2019,1930
11/22/2019,1830
11/23/2019,1920
11/24/2019,2140
11/25/2019,2160
11/26/2019,1960
11/27/2019,2000
11/28/2019,1900
11/29/2019,2010
11/30/2019,1880
12/1/2019,2390
12/2/2019,2370
12/3/2019,2410
12/4/2019,2270
12/5/2019,2340
12/6/2019,2350
12/7/2019,2270
12/8/2019,2360
12/9/2019,2240
12/10/2019,2310
12/11/2019,2170
12/12/2019,2400
12/13/2019,2350
12/14/2019,2120
12/15/2019,2350
12/16/2019,2260
12/17/2019,2230
12/18/2019,1990
12/19/2019,2080
12/20/2019,1880
12/21/2019,1860
12/22/2019,1750
12/23/2019,1880
12/24/2019,1720
12/25/2019,1900
12/26/2019,1820
12/27/2019,1850
12/28/2019,1810
12/29/2019,1820
12/30/2019,1710
12/31/2019,1760
1/1/2020,1810
1/2/2020,2110
1/3/2020,1920
1/4/2020,1880
1/5/2020,1940
1/6/2020,1920
1/7/2020,1940
1/8/2020,2090
1/9/2020,2100
1/10/2020,1940
1/11/2020,1820
1/12/2020,1800
1/13/2020,1830
1/14/2020,1810
1/15/2020,1870
1/16/2020,1910
1/17/2020,1880
1/18/2020,2130
1/19/2020,2130
1/20/2020,1810
1/21/2020,2050
1/22/2020,1780
1/23/2020,1820
1/24/2020,2330
1/25/2020,2180
1/26/2020,2100
1/27/2020,2050
1/28/2020,1750
1/29/2020,1770
1/30/2020,1790
1/31/2020,1770
2/1/2020,1900
2/2/2020,1820
2/3/2020,1830
2/4/2020,1880
2/5/2020,1980
2/6/2020,1790
2/7/2020,1820
2/8/2020,1890
2/9/2020,1950
2/10/2020,1940
2/11/2020,1860
2/12/2020,1970
2/13/2020,2060
2/14/2020,1990
2/15/2020,1890
2/16/2020,2020
2/17/2020,1840
2/18/2020,1810
2/19/2020,1890
2/20/2020,1940
2/21/2020,1760
2/22/2020,1830
2/23/2020,2090
2/24/2020,2070
2/25/2020,2140
2/26/2020,2220
2/27/2020,2010
2/28/2020,1720
2/29/2020,1830
3/1/2020,1880
3/2/2020,1730
3/3/2020,1820
3/4/2020,1810
3/5/2020,1730
3/6/2020,1810
3/7/2020,1880
3/8/2020,1960
3/9/2020,2040
3/10/2020,2110
3/11/2020,1870
3/12/2020,1980
3/13/2020,1710
3/14/2020,1710
3/15/2020,1830
3/16/2020,1790
3/17/2020,1940
3/18/2020,1950
3/19/2020,1900
3/20/2020,1940
3/21/2020,1840
3/22/2020,1860
3/23/2020,1880
3/24/2020,1770
3/25/2020,1840
3/26/2020,1650
3/27/2020,1740
3/28/2020,1760
3/29/2020,1810
3/30/2020,1820
3/31/2020,1810
4/1/2020,1700
4/2/2020,1820
4/3/2020,1800
4/4/2020,1720
4/5/2020,1810
4/6/2020,1830
4/7/2020,1740
4/8/2020,1810
4/9/2020,1850
4/10/2020,1790
4/11/2020,1800
4/12/2020,1820
4/13/2020,1810
4/14/2020,1800
4/15/2020,1860
4/16/2020,1920
4/17/2020,1870
4/18/2020,2150
4/19/2020,2090
4/20/2020,2000
4/21/2020,1920
4/22/2020,1910
4/23/2020,1850
4/24/2020,1780
4/25/2020,1740
4/26/2020,1860
4/27/2020,1820
4/28/2020,2030
4/29/2020,2270
4/30/2020,2000
5/1/2020,1920
5/2/2020,1860
5/3/2020,1940
5/4/2020,1880
5/5/2020,1970
5/6/2020,1910
5/7/2020,1830
5/8/2020,1780
5/9/2020,1930
5/10/2020,1730
5/11/2020,1690
5/12/2020,1720
5/13/2020,1910
5/14/2020,1900
5/15/2020,2190
5/16/2020,2150
5/17/2020,1820
5/18/2020,2240
5/19/2020,1990
5/20/2020,1980
5/21/2020,2070
5/22/2020,1750
5/23/2020,1930
5/24/2020,1980
5/25/2020,1960
5/26/2020,1980
5/27/2020,2120
5/28/2020,1960
5/29/2020,1840
5/30/2020,2020
5/31/2020,1940
6/1/2020,1960
6/2/2020,2220
6/3/2020,1990
6/4/2020,2000
6/5/2020,2080
6/6/2020,2000
6/7/2020,1910
6/8/2020,1990
6/9/2020,1960
6/10/2020,2140
6/11/2020,2030
6/12/2020,1760
6/13/2020,2020
6/14/2020,1760
6/15/2020,1840
6/16/2020,1930
6/17/2020,2090
6/18/2020,1790
6/19/2020,1710
6/20/2020,1770
6/21/2020,1740
6/22/2020,1750
6/23/2020,1810
6/24/2020,1850
6/25/2020,2010
6/26/2020,1970
6/27/2020,1900
6/28/2020,1980
6/29/2020,1920
