date,mdnghtstor
2007-10-01,3580.0
2007-10-02,3680.0
2007-10-03,3780.0
2007-10-04,3730.0
2007-10-05,3690.0
2007-10-06,3650.0
2007-10-07,3730.0
2007-10-08,3840.0
2007-10-09,3910.0
2007-10-10,3750.0
2007-10-11,3840.0
2007-10-12,3800.0
2007-10-13,3890.0
2007-10-14,3970.0
2007-10-15,4050.0
2007-10-16,3880.0
2007-10-17,3960.0
2007-10-18,3810.0
2007-10-19,3890.0
2007-10-20,3660.0
2007-10-21,3530.0
2007-10-22,1530.0
2007-10-23,1480.0
2007-10-24,1520.0
2007-10-25,1590.0
2007-10-26,1550.0
2007-10-27,1520.0
2007-10-28,1530.0
2007-10-29,1550.0
2007-10-30,1600.0
2007-10-31,1530.0
2007-11-01,1430.0
2007-11-02,1500.0
2007-11-03,1610.0
2007-11-04,1580.0
2007-11-05,1570.0
2007-11-06,1510.0
2007-11-07,1450.0
2007-11-08,1530.0
2007-11-09,1600.0
2007-11-10,1640.0
2007-11-11,1640.0
2007-11-12,1610.0
2007-11-13,1600.0
2007-11-14,1980.0
2007-11-15,3830.0
2007-11-16,3870.0
2007-11-17,3890.0
2007-11-18,3900.0
2007-11-19,4090.0
2007-11-20,3890.0
2007-11-21,3860.0
2007-11-22,3860.0
2007-11-23,3850.0
2007-11-24,3860.0
2007-11-25,3860.0
2007-11-26,3870.0
2007-11-27,3870.0
2007-11-28,3670.0
2007-11-29,3820.0
2007-11-30,3880.0
2007-12-01,3650.0
2007-12-02,3690.0
2007-12-03,3630.0
2007-12-04,3800.0
2007-12-05,3730.0
2007-12-06,3850.0
2007-12-07,3910.0
2007-12-08,3640.0
2007-12-09,3770.0
2007-12-10,3710.0
2007-12-11,3960.0
2007-12-12,3680.0
2007-12-13,4000.0
2007-12-14,4030.0
2007-12-15,3970.0
2007-12-16,4000.0
2007-12-17,3650.0
2007-12-18,3810.0
2007-12-19,3850.0
2007-12-20,3750.0
2007-12-21,3850.0
2007-12-22,3680.0
2007-12-23,3600.0
2007-12-24,3640.0
2007-12-25,3770.0
2007-12-26,3830.0
2007-12-27,3700.0
2007-12-28,3700.0
2007-12-29,3740.0
2007-12-30,3730.0
2007-12-31,3780.0
2008-01-01,3700.0
2008-01-02,3930.0
2008-01-03,3750.0
2008-01-04,3920.0
2008-01-05,3910.0
2008-01-06,3720.0
2008-01-07,3620.0
2008-01-08,3630.0
2008-01-09,3820.0
2008-01-10,3750.0
2008-01-11,3620.0
2008-01-12,3740.0
2008-01-13,3800.0
2008-01-14,3580.0
2008-01-15,3600.0
2008-01-16,3920.0
2008-01-17,3700.0
2008-01-18,3810.0
2008-01-19,3780.0
2008-01-20,3730.0
2008-01-21,3840.0
2008-01-22,3830.0
2008-01-23,3840.0
2008-01-24,3820.0
2008-01-25,3670.0
2008-01-26,3730.0
2008-01-27,3850.0
2008-01-28,3800.0
2008-01-29,3830.0
2008-01-30,3710.0
2008-01-31,3790.0
2008-02-01,3710.0
2008-02-02,3840.0
2008-02-03,3980.0
2008-02-04,3800.0
2008-02-05,3630.0
2008-02-06,3420.0
2008-02-07,3540.0
2008-02-08,3660.0
2008-02-09,3850.0
2008-02-10,3640.0
2008-02-11,3680.0
2008-02-12,3610.0
2008-02-13,3720.0
2008-02-14,3840.0
2008-02-15,3860.0
2008-02-16,3940.0
2008-02-17,3670.0
2008-02-18,3680.0
2008-02-19,3650.0
2008-02-20,3830.0
2008-02-21,3760.0
2008-02-22,3790.0
2008-02-23,3880.0
2008-02-24,3850.0
2008-02-25,3890.0
2008-02-26,3680.0
2008-02-27,3850.0
2008-02-28,3750.0
2008-02-29,3590.0
2008-03-01,3530.0
2008-03-02,3710.0
2008-03-03,3600.0
2008-03-04,3900.0
2008-03-05,3710.0
2008-03-06,3720.0
2008-03-07,3960.0
2008-03-08,4010.0
2008-03-09,3970.0
2008-03-10,3630.0
2008-03-11,3920.0
2008-03-12,3780.0
2008-03-13,3700.0
2008-03-14,3820.0
2008-03-15,3650.0
2008-03-16,3720.0
2008-03-17,3760.0
2008-03-18,3620.0
2008-03-19,3710.0
2008-03-20,3800.0
2008-03-21,3750.0
2008-03-22,3880.0
2008-03-23,3760.0
2008-03-24,3600.0
