date,mdnghtstor
10/1/2014,3600.0
10/2/2014,3460.0
10/3/2014,3630.0
10/4/2014,3530.0
10/5/2014,3540.0
10/6/2014,3550.0
10/7/2014,3560.0
10/8/2014,3490.0
10/9/2014,3500.0
10/10/2014,3510.0
10/11/2014,3510.0
10/12/2014,3520.0
10/13/2014,3530.0
10/14/2014,3540.0
10/15/2014,3550.0
10/16/2014,3560.0
10/17/2014,3570.0
10/18/2014,3580.0
10/19/2014,3600.0
10/20/2014,3610.0
10/21/2014,3610.0
10/22/2014,3620.0
10/23/2014,3630.0
10/24/2014,3640.0
10/25/2014,3650.0
10/26/2014,3680.0
10/27/2014,3760.0
10/28/2014,3780.0
10/29/2014,3790.0
10/30/2014,4120.0
10/31/2014,4150.0
11/1/2014,4130.0
11/2/2014,4130.0
11/3/2014,4140.0
11/4/2014,4090.0
11/5/2014,4130.0
11/6/2014,4140.0
11/7/2014,4140.0
11/8/2014,4160.0
11/9/2014,4080.0
11/10/2014,4030.0
11/11/2014,4040.0
11/12/2014,4060.0
11/13/2014,4070.0
11/14/2014,4090.0
11/15/2014,4110.0
11/16/2014,4130.0
11/17/2014,4140.0
11/18/2014,4120.0
11/19/2014,4140.0
11/20/2014,4130.0
11/21/2014,4130.0
11/22/2014,4160.0
11/23/2014,4140.0
11/24/2014,4130.0
11/25/2014,4150.0
11/26/2014,4140.0
11/27/2014,4140.0
11/28/2014,4140.0
11/29/2014,4120.0
11/30/2014,4150.0
12/1/2014,4130.0
12/2/2014,4130.0
12/3/2014,4150.0
12/4/2014,4150.0
12/5/2014,4140.0
12/6/2014,4130.0
12/7/2014,4140.0
12/8/2014,4120.0
12/9/2014,4130.0
12/10/2014,4140.0
12/11/2014,3980.0
12/12/2014,3990.0
12/13/2014,3990.0
12/14/2014,3970.0
12/15/2014,3980.0
12/16/2014,4000.0
12/17/2014,3970.0
12/18/2014,3980.0
12/19/2014,3980.0
12/20/2014,4130.0
12/21/2014,4140.0
12/22/2014,4140.0
12/23/2014,4120.0
12/24/2014,4150.0
12/25/2014,4140.0
12/26/2014,4140.0
12/27/2014,4120.0
12/28/2014,4140.0
12/29/2014,4130.0
12/30/2014,4120.0
12/31/2014,4130.0
01/1/2015,4130.0
01/2/2015,4140.0
01/3/2015,4150.0
01/4/2015,4150.0
01/5/2015,4130.0
01/6/2015,4140.0
01/7/2015,4140.0
01/8/2015,4140.0
01/9/2015,4140.0
01/10/2015,4130.0
01/11/2015,4150.0
01/12/2015,4150.0
01/13/2015,4050.0
01/14/2015,4140.0
01/15/2015,4140.0
01/16/2015,3680.0
01/17/2015,4040.0
01/18/2015,4030.0
01/19/2015,4130.0
01/20/2015,4100.0
01/21/2015,3960.0
01/22/2015,4140.0
01/23/2015,4150.0
01/24/2015,4120.0
01/25/2015,3950.0
01/26/2015,3730.0
01/27/2015,3690.0
01/28/2015,3710.0
01/29/2015,3740.0
01/30/2015,3590.0
01/31/2015,3620.0
02/1/2015,3700.0
02/2/2015,3660.0
02/3/2015,3760.0
02/4/2015,3810.0
02/5/2015,3780.0
02/6/2015,3710.0
02/7/2015,3820.0
02/8/2015,3820.0
02/9/2015,3870.0
02/10/2015,3670.0
02/11/2015,3590.0
02/12/2015,3660.0
02/13/2015,3760.0
02/14/2015,3720.0
02/15/2015,3820.0
02/16/2015,3760.0
02/17/2015,3810.0
02/18/2015,3980.0
02/19/2015,3790.0
02/20/2015,3580.0
02/21/2015,3760.0
02/22/2015,3660.0
02/23/2015,3610.0
02/24/2015,3880.0
02/25/2015,3790.0
02/26/2015,3730.0
02/27/2015,3520.0
02/28/2015,3880.0
03/1/2015,3740.0
03/2/2015,3730.0
03/3/2015,3880.0
03/4/2015,3750.0
03/5/2015,3820.0
03/6/2015,3880.0
03/7/2015,3740.0
03/8/2015,3680.0
03/9/2015,3680.0
03/10/2015,3730.0
03/11/2015,3700.0
03/12/2015,3730.0
03/13/2015,3700.0
03/14/2015,3660.0
03/15/2015,3600.0
03/16/2015,3720.0
03/17/2015,3770.0
03/18/2015,3780.0
03/19/2015,3740.0
03/20/2015,3770.0
03/21/2015,3920.0
03/22/2015,3840.0
03/23/2015,3720.0
03/24/2015,3680.0
03/25/2015,3660.0
03/26/2015,3640.0
03/27/2015,3880.0
03/28/2015,3880.0
03/29/2015,3760.0
03/30/2015,3700.0
03/31/2015,3590.0
04/1/2015,3600.0
04/2/2015,3720.0
04/3/2015,3710.0
04/4/2015,3680.0
04/5/2015,3700.0
04/6/2015,3670.0
04/7/2015,3650.0
04/8/2015,3580.0
04/9/2015,3590.0
04/10/2015,3570.0
04/11/2015,3540.0
04/12/2015,3510.0
04/13/2015,3550.0
04/14/2015,3590.0
04/15/2015,3620.0
04/16/2015,3640.0
04/17/2015,3680.0
04/18/2015,3700.0
04/19/2015,3660.0
04/20/2015,3600.0
04/21/2015,3630.0
04/22/2015,3660.0
04/23/2015,3690.0
04/24/2015,3720.0
04/25/2015,3770.0
04/26/2015,3810.0
04/27/2015,3870.0
04/28/2015,3920.0
04/29/2015,3510.0
04/30/2015,3560.0
05/1/2015,3600.0
05/2/2015,3640.0
05/3/2015,3610.0
05/4/2015,3640.0
05/5/2015,3670.0
05/6/2015,3700.0
05/7/2015,3740.0
05/8/2015,3770.0
05/9/2015,3810.0
05/10/2015,3790.0
05/11/2015,3820.0
05/12/2015,3850.0
05/13/2015,3880.0
05/14/2015,3910.0
05/15/2015,3910.0
05/16/2015,3900.0
05/17/2015,3900.0
05/18/2015,3880.0
05/19/2015,3870.0
05/20/2015,3860.0
05/21/2015,3840.0
05/22/2015,3830.0
05/23/2015,3810.0
05/24/2015,3800.0
05/25/2015,3780.0
05/26/2015,3770.0
05/27/2015,3760.0
05/28/2015,3750.0
05/29/2015,3740.0
