date,depblotoc,who,time,notes
6/10/10,4.33,BB,9:14,
7/19/10,4.50,MH,9:47,
8/23/10,4.61,MH,10:40,
9/21/10,4.22,MH,9:30,
10/22/10,4.03,MH,7:38,
11/22/10,4.12,MH,7:53,
12/31/10,3.26,BB,14:12,
1/21/11,3.47,MH,8:15,
2/22/11,3.71,BB,0:00,
3/26/11,3.91,MH,10:02,
4/26/11,4.10,BB,9:51,
5/20/11,4.16,BB,17:47,
6/29/11,4.40,BB,7:19,
7/22/11,4.43,BB,8:29,
8/28/11,4.06,BB,7:17,
9/28/11,4.11,MH,9:13,
10/28/11,4.18,BB,16:40,
11/25/11,3.93,MH,9:42,
12/31/11,3.79,BB,13:48,
1/31/12,3.67,BB,12:10,
2/29/12,3.57,BB,15:34,
5/30/12,4.14,BB,7:16,
6/30/12,4.35,BB,7:43,
7/26/12,4.40,"DL, HH, & JH",7:42,
8/28/12,4.03,JP & SS,8:11,
9/25/12,4.04,JP,8:07,
11/1/12,3.98,JP,9:18,
11/22/12,3.90,SS & KB,10:35,
12/31/12,3.80,HH & JH,13:05,
2/2/13,3.49,BB,9:34,
2/28/13,3.77,DL,12:23,
3/31/13,3.79,BB,10:14,
4/30/13,3.97,BB,8:52,
5/29/13,4.22,DL & JK,8:52,
6/27/13,4.37,DL,6:51,
7/31/13,3.84,BB,7:43,Muddy!
8/28/13,3.79,JK,11:41,
9/30/13,3.93,BB,17:48,
10/30/13,4.00,BB,13:05,
11/30/13,3.42,JK,15:32,
12/27/13,3.76,JK,10:11,
1/31/14,3.55,JK,10:09,
3/28/14,3.76,JK,11:30,
5/3/14,4.19,BB,9:16,
5/31/14,4.25,BB,7:46,
6/27/14,4.48,JK,7:12,
7/27/14,4.59,BB,8:07,
8/31/14,4.29,BB,7:24,
10/2/14,4.12,JK,11:20,
1/31/15,3.22,PD,0:00,
3/31/15,3.95,AD,0:00,
4/28/15,3.97,AD,12:17,
5/29/15,4.11,PD,8:55,
9/14/15,4.32,PD,11:40,
10/31/15,3.85,PD & TH,12:57,
11/24/15,3.86,TH & AM,13:57,
12/16/15,3.77,AM,13:01,
1/29/16,3.39,AM & AL,14:07,
2/25/16,3.71,AM & JS,12:16,
3/23/16,4.00,"AM, AL, & CD",11:20,
4/13/16,4.12,AM & JS,15:59,
5/10/16,4.23,AM & JS,9:19,
7/29/16,4.26,TH,11:43,
8/19/16,4.39,TH,6:57,
12/15/16,4.04,TH,16:18,PVC pipe loose. Makes bearing of black measuring mark irrelevant.
3/10/17,3.91,TH,13:31,
7/9/17,4.67,TH,12:02,"6/9/17 attempt failed, loss of light"
9/16/17,4.64,TH,8:14,
12/15/17,4.01,TH,15:54,Loose piezometer
1/18/18,3.55,TH,13:00,
2/15/18,3.92,TH,17:15,
3/15/18,3.70,TH,10:10,
4/19/18,4.16,TH,11:26,
5/12/18,4.20,TH,13:47,
6/16/18,4.39,TH,10:19,
7/20/18,4.59,TH,10:14,
8/22/18,4.74,TH,9:07,
9/16/18,4.78,TH,11:10,
10/15/18,4.55,TH,13:13,
11/18/18,4.25,TH,14:18,
12/12/18,4.06,TH,14:42,
4/12/19,4.10,TH,19:39,
5/15/19,3.79,TH,19:34,
8/15/19,4.59,TH,8:19,
3/24/2022,3.65,MV,11:48,
7/28/2022,4.29,MV,8:38,Cap freed!
8/24/2022,4.16,MV,7:55,
9/23/2022,4.11,MV,11:30,
10/19/2022,4.00,MV,2:45,
11/23/2022,3.95,MV,10:23,
12/15/2022,3.97,MV,12:35,
1/13/2023,3.50,MV,11:01,
2/10/2023,3.80,MV,1:03,
