date,depblotoc,who,time,notes
6/10/10,3.54,BB,7:21,
7/19/10,3.91,MH,6:37,
8/23/10,4.21,MH,7:23,
9/21/10,3.90,MH,8:00,
10/22/10,3.74,MH,8:50,
11/22/10,3.67,MH,8:20,
12/31/10,2.81,BB,12:43,
1/21/11,3.02,MH,9:17,
2/22/11,3.03,BB,0:00,
3/26/11,3.14,MH,8:45,
4/26/11,3.32,BB,8:29,
5/20/11,3.37,BB,17:02,
6/29/11,3.62,BB,5:51,
7/22/11,3.65,BB,7:08,
8/28/11,3.45,BB,6:13,
9/28/11,3.55,MH,8:07,
10/28/11,3.66,BB,15:26,
11/25/11,3.49,MH,10:42,
12/31/11,3.30,BB,12:37,
1/31/12,3.19,BB,10:56,
2/29/12,3.07,BB,14:24,
5/30/12,3.44,BB,6:13,
6/30/12,3.62,BB,6:42,
7/26/12,3.70,"DL, HH, & JH",6:31,
8/28/12,3.53,JP & SS,7:00,Damp soil. Rain event 8/22/12. Puddles on road.
9/25/12,3.61,JP,6:40,
11/1/12,3.51,JP,8:09,
11/22/12,3.45,SS & KB,8:30,
12/31/12,3.30,HH & JH,11:50,
2/2/13,3.09,BB,8:37,Ground wet. Fresh salt bloom.
2/28/13,3.13,DL,11:16,
3/31/13,3.11,BB,9:18,
4/30/13,3.24,BB,7:53,
5/29/13,3.43,DL & JK,7:36,
6/27/13,3.56,DL,5:49,
7/31/13,3.34,BB,6:44,
8/28/13,3.31,JK,10:58,
9/30/13,3.38,BB,16:51,
10/30/13,3.46,BB,11:53,
11/30/13,3.20,JK,13:47,
12/27/13,3.24,JK,9:20,
1/31/14,3.32,JK,9:05,
3/28/14,3.08,JK,10:10,
5/3/14,3.25,BB,8:05,
5/31/14,3.31,BB,6:36,
6/27/14,3.50,JK,6:08,
7/27/14,3.60,BB,6:58,
8/31/14,3.49,BB,6:23,
10/2/14,3.42,JK,10:45,
12/29/14,3.12,PD,0:00,
1/31/15,2.79,PD,0:00,
3/31/15,3.31,AD,17:33,
4/28/15,3.07,AD,14:43,
5/29/15,3.34,PD,8:10,
9/14/15,3.50,PD,10:50,Roots in well
10/31/15,3.12,PD & TH,12:15,
11/24/15,3.13,TH & AM,12:44,
12/16/15,3.10,AM,11:08,
1/29/16,2.86,AM & AL,13:08,
2/25/16,2.94,AM & JS,11:31,
3/23/16,3.15,"AM, AL, & CD",10:40,
4/13/16,3.14,AM & JS,14:59,
5/10/16,3.20,AM & JS,12:53,
7/29/16,3.39,TH,7:41,
8/19/16,3.55,TH,7:32,
12/15/16,3.30,TH,16:54,
3/10/17,3.05,TH,12:37,
7/9/17,3.60,TH,11:07,"6/9/17 attempt failed, loss of light"
9/16/17,3.60,TH,7:30,
12/15/17,3.16,TH,15:05,
1/18/18,2.87,TH,12:00,
2/15/18,3.06,TH,16:29,
3/15/18,2.82,TH,11:02,
4/19/18,3.19,TH,12:39,
5/12/18,3.22,TH,12:14,
6/16/18,3.42,TH,9:36,
7/20/18,3.59,TH,11:31,
8/22/18,3.77,TH,10:47,
9/17/18,3.70,TH,13:27,
10/15/18,3.57,TH,11:10,
11/18/18,3.30,TH,15:41,
12/12/18,3.15,TH,15:56,
4/12/19,3.20,TH,18:09,
5/15/19,3.01,TH,18:17,
8/15/19,3.67,TH,7:45,
3/24/2022,2.86,MV,9:35,
4/29/2022,3.10,MV,11:27,
6/3/2022,3.28,MV,10:05,
7/1/2022,3.42,MV,8:47,
7/28/2022,3.30,MV,7:49,
8/24/2022,3.22,MV,6:40,
9/23/2022,3.13,MV,10:20,
10/19/2022,3.05,MV,12:45,
11/23/2022,3.05,MV,10:55,
12/15/2022,3.20,MV,11:41,
1/13/2023,2.60,MV,9:25,
2/10/2023,2.81,MV,11:50,
