date,depblotoc,who,time,notes
6/10/10,3.81,BB,8:50,
7/19/10,4.25,MH,8:59,
8/23/10,4.51,MH,10:22,
9/21/10,4.09,MH,9:10,
10/22/10,4.02,MH,7:22,
11/22/10,3.92,MH,7:41,
12/31/10,3.15,BB,13:58,
1/21/11,3.24,MH,8:02,
2/22/11,3.34,BB,0:00,
3/26/11,3.42,MH,9:47,
4/26/11,3.59,BB,9:38,
5/20/11,3.70,BB,17:29,
6/29/11,3.97,BB,6:59,
7/22/11,4.07,BB,8:16,
8/28/11,3.85,BB,7:03,
9/28/11,3.94,MH,9:07,
10/28/11,4.01,BB,16:34,
11/25/11,3.82,MH,9:30,
12/31/11,3.59,BB,13:37,
1/31/12,3.44,BB,11:58,
2/29/12,3.37,BB,15:23,
5/30/12,3.72,BB,7:04,
6/30/12,3.93,BB,7:31,
7/26/12,4.08,"DL, HH, & JH",7:32,
8/28/12,3.83,JP & SS,8:00,Damp soil. Rain event 8/22/12. Puddles on road.
9/25/12,3.90,JP,8:18,
11/1/12,3.79,JP,9:29,
11/22/12,3.82,SS & KB,10:50,
12/31/12,3.54,HH & JH,12:53,
2/2/13,3.38,BB,9:23,
2/28/13,3.40,DL,12:11,
3/31/13,3.38,BB,10:02,
4/30/13,3.50,BB,8:40,Getting hot!
5/29/13,6.45,DL & JK,9:01,"No buzzer. Bottom of probe had 4"" of fine mud. Possible high turbidity."
6/27/13,3.95,DL,6:36,
7/31/13,3.68,BB,7:31,
8/28/13,3.65,JK,11:30,
9/30/13,3.75,BB,17:37,
10/30/13,3.78,BB,12:52,
11/30/13,3.40,JK,15:19,
12/27/13,3.53,JK,10:00,
1/31/14,3.37,JK,9:59,
3/28/14,3.43,JK,11:00,
5/3/14,3.50,BB,9:04,
5/31/14,3.63,BB,7:33,Intense wind
6/27/14,3.89,JK,7:01,
7/27/14,4.08,BB,7:56,
8/31/14,3.94,BB,7:13,
10/2/14,3.88,JK,11:00,
12/29/14,3.45,PD,0:00,
1/31/15,3.19,PD,0:00,
3/31/15,3.41,AD,0:00,
4/28/15,3.42,AD,12:00,
5/29/15,3.56,PD,8:40,
9/14/15,4.02,PD,11:10,
10/31/15,3.36,PD & TH,12:46,
11/24/15,3.41,TH & AM,13:43,
12/16/15,3.36,AM,13:19,
1/29/16,3.15,AM & AL,13:58,
2/25/16,3.23,AM & JS,12:04,
3/23/16,3.40,"AM, AL, & CD",11:10,
4/13/16,3.46,AM & JS,16:12,
5/10/16,3.51,AM & JS,9:32,
7/29/16,3.82,TH,6:50,
8/19/16,4.05,TH,6:40,PVC pipe is loose - spins easily when removing lid. Changes bearing of measuring mark.
12/15/16,3.72,TH,16:00,PVC pipe loose. Black measuring mark irrelevant.
3/10/17,3.39,TH,13:19,PVC pipe wiggly
7/9/17,4.17,TH,11:47,"6/9/17 attempt failed, loss of light"
9/16/17,4.22,TH,7:59,
12/15/17,3.67,TH,15:41,
1/18/18,3.38,TH,12:40,
2/15/18,3.44,TH,17:01,
3/15/18,3.34,TH,9:58,
4/19/18,3.54,TH,11:04,Niterwort growing just south of wall
5/12/18,3.56,TH,14:09,Niterwort growing just south of wall
6/16/18,3.86,TH,10:04,Niterwort growing just south of wall
7/20/18,4.15,TH,9:53,Niterwort growing just south of wall
8/22/18,4.34,TH,8:48,
9/17/18,4.27,TH,10:50,Niterwort(?) from truck to well. Photo and GPS taken.
10/15/18,4.10,TH,12:50,
11/18/18,3.84,TH,14:15,Forgot photo.
12/12/18,3.65,TH,14:29,
4/12/19,3.45,TH,19:52,Hole around base filling in
5/15/19,3.38,TH,19:48,
8/15/19,4.21,TH,8:09,
3/24/2022,3.23,MV,10:17,
4/29/2022,3.40,MV,9:46,
6/3/2022,3.62,MV,10:43,
7/1/2022,4.88,MV,7:47,
7/28/2022,3.91,MV,7:57,
8/24/2022,3.84,MV,7:40,
9/23/2022,3.69,MV,11:15,
10/19/2022,3.59,MV,2:30,
11/23/2022,3.59,MV,10:08,
12/15/2022,3.66,MV,12:14,
1/13/2022,3.02,MV,10:49,
2/10/2023,3.33,MV,12:52,
