date,depblotoc,who,time,notes
6/10/10,3.66,BB,0:00,
7/19/10,4.03,MH,9:27,
8/23/10,4.32,MH,10:30,
9/21/10,3.95,MH,9:20,
10/22/10,3.89,MH,7:30,
11/22/10,3.88,MH,7:47,
12/31/10,2.81,BB,14:06,
1/21/11,2.85,MH,8:10,
2/22/11,3.09,BB,0:00,
3/26/11,3.27,MH,9:55,
4/26/11,3.46,BB,9:42,
5/20/11,3.60,BB,17:39,
6/29/11,3.90,BB,7:08,
7/22/11,4.01,BB,8:23,
8/28/11,3.79,BB,7:11,
9/28/11,3.89,MH,9:13,
10/28/11,3.93,BB,16:40,
11/25/11,3.78,MH,9:37,
12/31/11,3.64,BB,13:43,
1/31/12,3.42,BB,12:04,
2/29/12,3.27,BB,15:29,
5/30/12,3.65,BB,7:10,
6/30/12,3.92,BB,7:37,
7/26/12,4.08,"DL, HH, & JH",7:38,
8/28/12,3.87,JP & SS,8:09,Damp soil. Rain event 8/22/12. Puddles on road.
9/25/12,3.85,JP,8:00,
11/1/12,3.74,JP,9:10,
11/22/12,3.70,SS & KB,10:25,
12/31/12,3.49,HH & JH,13:00,
2/2/13,3.26,BB,9:29,
2/28/13,3.28,DL,12:17,
3/31/13,3.20,BB,10:08,
4/30/13,3.40,BB,8:47,
5/29/13,3.64,DL & JK,8:47,
6/27/13,3.86,DL,6:44,
7/31/13,3.74,BB,7:38,
8/28/13,3.71,JK,11:36,
9/30/13,3.71,BB,17:42,
10/30/13,3.75,BB,12:58,
11/30/13,3.32,JK,15:25,
12/27/13,3.42,JK,10:05,
1/31/14,3.23,JK,10:06,
3/28/14,3.21,JK,11:14,
5/3/14,3.39,BB,9:09,
5/31/14,3.51,BB,7:39,
6/27/14,3.75,JK,7:06,
7/27/14,4.02,BB,8:02,
8/31/14,3.91,BB,7:19,
10/2/14,3.84,JK,11:30,
12/29/14,4.02,PD,0:00,
1/31/15,2.90,PD,0:00,
3/31/15,3.21,AD,0:00,
4/28/15,3.27,AD,12:09,
5/29/15,3.51,PD,8:50,
9/14/15,4.00,PD,11:25,
10/31/15,2.95,PD & TH,12:52,
11/24/15,3.20,TH & AM,13:52,
12/16/15,3.17,AM,13:12,
1/29/16,2.52,AM & AL,14:02,
2/25/16,2.78,AM & JS,12:11,
3/23/16,3.20,"AM, AL, & CD",11:16,
4/13/16,3.30,AM & JS,15:52,
5/10/16,3.37,AM & JS,9:25,
7/29/16,3.68,TH,7:00,
8/19/16,3.91,TH,6:46,
12/15/16,3.64,TH,16:11,
3/10/17,3.10,TH,13:25,
7/9/17,4.03,TH,11:55,"6/9/17 attempt failed, loss of light"
9/16/17,4.14,TH,8:07,
12/15/17,3.60,TH,15:49,
1/18/18,3.26,TH,12:50,
2/15/18,3.32,TH,17:08,
3/15/18,3.15,TH,10:04,
4/19/18,3.34,TH,11:13,
5/12/18,3.42,TH,13:55,
6/16/18,3.68,TH,10:12,
7/20/18,3.96,TH,10:03,
8/22/18,4.21,TH,8:58,
9/17/18,4.20,TH,11:01,
10/15/18,4.07,TH,13:03,
11/18/18,3.75,TH,14:21,
12/12/18,3.58,TH,14:34,
4/12/19,3.13,TH,19:46,
5/15/19,2.95,TH,19:46,
8/15/19,4.02,TH,8:14,
3/24/2022,2.93,MV,11:04,
4/29/2022,3.17,MV,10:01,
6/3/2022,3.55,MV,9:26,
7/1/2022,3.88,MV,6:48,
7/28/2022,4.06,MV,8:29,
8/24/2022,3.93,MV,8:05,
9/23/2022,3.83,MV,11:20,
10/19/2022,3.74,MV,2:36,
11/23/2022,3.66,MV,10:17,
12/15/2022,3.56,MV,12:56,
1/13/2023,2.80,MV,10:55,
2/10/2023,3.13,MV,12:58,
