date,depblotoc,who,time,notes
6/10/10,4.20,BB,6:57,
7/19/10,4.56,MH,5:54,
8/23/10,4.83,MH,7:10,
9/21/10,4.36,MH,7:40,
10/22/10,4.19,MH,8:43,
11/22/10,4.13,MH,8:03,
12/31/10,3.18,BB,12:28,
1/21/11,3.44,MH,9:40,
2/22/11,3.56,BB,0:00,
3/26/11,3.75,MH,8:32,
4/26/11,3.97,BB,8:17,
5/20/11,4.01,BB,16:11,
6/29/11,4.30,BB,5:50,
7/22/11,4.33,BB,6:56,
8/28/11,4.08,BB,6:03,
9/28/11,4.15,MH,7:54,ground moist
10/28/11,4.30,BB,15:13,
11/25/11,4.00,MH,10:30,
12/31/11,3.77,BB,12:21,
1/31/12,3.66,BB,10:43,
2/29/12,3.58,BB,14:14,
5/30/12,4.08,BB,5:52,Windy & pleasant ~80*F?
6/30/12,4.27,BB,6:29,
7/26/12,4.35,"DL, HH, & JH",6:20,
8/28/12,4.08,JP & SS,6:50,Damp soil. Rain event 8/22/12. Puddles on road.
9/25/12,4.14,JP,6:25,
11/1/12,3.99,JP,7:49,Had to unscrew from base to get cap off.
11/22/12,3.94,SS & KB,8:10,
12/31/12,3.79,HH & JH,11:35,
2/2/13,3.55,BB,8:25,
2/28/13,3.64,DL,11:03,
3/31/13,3.66,BB,9:09,Windy!
4/30/13,3.84,BB,7:42,
5/29/13,4.10,DL & JK,7:19,
6/27/13,4.26,DL,5:34,
7/31/13,3.89,BB,6:31,Big rivers 48 hours ago
8/28/13,3.56,JK,10:18,
9/30/13,3.92,BB,16:41,
10/30/13,4.02,BB,11:41,
11/30/13,3.44,JK,13:26,
12/27/13,3.73,JK,9:51,
1/31/14,3.55,JK,8:55,
3/28/14,3.62,JK,10:28,
5/3/14,3.87,BB,7:54,Extreme wind
5/31/14,3.98,BB,6:23,
6/27/14,4.20,JK,5:56,"Clear skies. 64*F @ 5.50am, 80*F @ 8.40am"
7/27/14,4.37,BB,6:47,
8/31/14,4.14,BB,6:12,
10/2/14,4.08,JK,10:30,
12/29/14,3.67,PD,0:00,
1/31/15,3.23,PD,0:00,
3/31/15,3.69,AD,17:52,
4/28/15,3.60,AD,12:40,
5/29/15,3.92,PD,8:30,
9/14/15,4.15,PD,11:20,
7/1/2022,4.13,MV,6:40,Transducer not responding; taking levels with water line
7/28/2022,4.00,MV,8:05,Starting to record water levels manually since TRAN is not responsive
8/24/2022,4.06,MV,6:10,
9/23/2022,3.82,MV,9:45,
10/19/2022,3.69,MV,12:05,
11/23/2022,3.64,MV,10:41,
12/15/2022,3.46,MV,10:15,
1/13/2022,3.10,MV,9:11,
2/10/2023,3.41,MV,11:39,
