date,depblotoc,who,time,notes
6/10/10,3.62,BB,7:35,
7/19/10,4.00,MH,6:56,
8/23/10,4.39,MH,7:21,
9/21/10,4.29,MH,8:10,
10/22/10,4.23,MH,9:00,
11/22/10,4.08,MH,8:24,
12/31/10,3.22,BB,12:50,
1/21/11,3.24,MH,9:20,
2/22/11,3.24,BB,0:00,
3/26/11,3.26,MH,8:51,
4/26/11,3.39,BB,8:43,
5/20/11,3.47,BB,16:52,
6/29/11,3.69,BB,6:05,
7/22/11,3.77,BB,7:14,
8/28/11,3.70,BB,6:21,
9/28/11,3.86,MH,8:13,
10/28/11,3.95,BB,15:33,
11/25/11,3.88,MH,10:47,
12/31/11,3.68,BB,12:43,
1/31/12,3.53,BB,11:03,
2/29/12,3.40,BB,14:30,
5/30/12,3.59,BB,6:20,
6/30/12,3.76,BB,6:47,
7/26/12,4.89,"DL, HH, & JH",6:36,
8/28/12,3.86,JP & SS,7:05,Damp soil - rain event 8/22/12. Puddles on road.
9/25/12,3.94,JP,6:47,
11/1/12,3.90,JP,8:16,
11/22/12,3.85,SS & KB,8:30,
12/31/12,3.66,HH & JH,11:55,
2/2/13,3.43,BB,8:43,
2/28/13,3.42,DL,11:22,
3/31/13,3.29,BB,9:23,
4/30/13,3.38,BB,7:59,
5/29/13,3.53,DL & JK,7:42,
6/27/13,3.68,DL,5:55,
7/31/13,3.70,BB,6:49,
8/28/13,3.60,JK,10:50,
9/30/13,3.75,BB,16:56,
10/30/13,3.79,BB,11:59,
11/30/13,5.10,JK,13:53,
12/27/13,3.54,JK,9:27,
1/31/14,3.37,JK,9:10,
3/28/14,3.29,JK,10:18,
5/3/14,3.32,BB,8:13,
5/31/14,3.39,BB,6:41,
6/27/14,3.70,JK,6:14,
7/27/14,3.69,BB,7:05,
8/31/14,3.71,BB,0:00,
10/2/14,3.69,JK,10:40,
12/29/14,3.41,PD,0:00,
1/31/15,3.06,PD,0:00,
3/31/15,3.19,AD,17:21,
4/28/15,3.12,AD,14:57,
5/29/15,3.33,PD,8:02,
9/14/15,3.66,PD,10:38,
10/31/15,3.15,PD & TH,12:05,
11/24/15,3.21,TH & AM,12:54,
12/16/15,3.21,AM,10:56,
1/29/16,3.02,AM & AL,12:46,
2/25/16,3.05,AM & JS,11:20,
3/23/16,3.10,"AM, AL, & CD",10:33,
4/13/16,3.10,AM & JS,15:07,
5/10/16,3.19,AM & JS,12:47,
7/29/16,3.51,TH,7:50,
8/19/16,3.73,TH,7:37,
12/15/16,3.57,TH,17:00,
3/10/17,3.13,TH,12:45,
7/9/17,3.53,TH,11:15,"6/9/17 attempt failed, loss of light"
9/16/17,3.71,TH,7:38,Probe tip came out muddy
12/15/17,3.39,TH,15:15,OHV tracks found nearby
1/18/18,3.15,TH,12:10,
2/15/18,3.19,TH,16:36,
3/15/18,3.08,TH,11:08,
4/19/18,3.20,TH,12:49,
5/12/18,3.19,TH,12:27,
6/16/18,3.36,TH,9:27,
7/20/18,3.54,TH,11:38,
8/22/18,3.73,TH,10:39,
9/17/18,3.80,TH,13:11,
10/15/18,3.67,TH,11:18,
11/18/18,3.52,TH,15:52,
12/12/18,3.36,TH,16:05,
4/12/19,3.12,TH,18:25,
5/15/19,3.00,TH,18:16,
8/15/19,3.66,TH,7:39,Slight depresseion at piezo base
3/24/2022,2.95,MV,9:06,
6/3/2022,3.18,MV,9:35,
7/1/2022,3.38,MV,7:50,
7/28/2022,3.39,MV,7:25,
8/24/2022,3.30,MV,6:35,
9/23/2022,3.35,MV,10:15,
10/19/2022,3.33,MV,1:10,
11/23/2022,3.33,MV,11:01,
12/15/2022,3.41,MV,11:14,
1/13/2023,2.99,MV,9:33,
2/10/2023,3.02,MV,11:57,
