date,kaf
5/21/2023,47.496768
5/22/2023,43.331033
5/23/2023,43.569018
5/24/2023,44.875557
5/25/2023,42.937068
5/26/2023,37.683426
5/27/2023,35.102489
5/28/2023,33.370773
5/29/2023,34.188267
5/30/2023,35.11878
5/31/2023,37.051724
6/1/2023,32.763219
6/2/2023,32.813384
6/3/2023,34.215909
6/4/2023,34.078398
6/5/2023,37.058734
6/6/2023,36.980291
6/7/2023,36.164005
6/8/2023,29.053604
6/9/2023,28.269128
6/10/2023,29.491767
6/11/2023,29.020291
6/12/2023,28.562862
6/13/2023,25.931698
6/14/2023,27.538743
6/15/2023,34.504234
6/16/2023,35.207617
6/17/2023,35.635396
6/18/2023,35.316535
6/19/2023,36.120622
6/20/2023,35.056819
6/21/2023,29.158007
6/22/2023,25.162711
6/23/2023,23.899751
6/24/2023,23.491745
6/25/2023,23.645952
6/26/2023,22.146275
6/27/2023,24.378564
6/28/2023,24.465633
6/29/2023,22.983493
6/30/2023,24.304062
7/1/2023,26.845871
7/2/2023,30.633118
7/3/2023,33.140949
7/4/2023,33.868733
7/5/2023,31.926769
7/6/2023,31.397926
7/7/2023,28.866887
7/8/2023,26.98853
7/9/2023,25.770519
7/10/2023,24.648052
7/11/2023,23.266211
7/12/2023,21.473171
7/13/2023,19.211778
7/14/2023,18.240748
7/15/2023,18.125048
7/16/2023,18.644914
7/17/2023,19.586021
7/18/2023,20.330207
7/19/2023,20.806122
7/20/2023,20.88231
7/21/2023,18.736704
7/22/2023,17.543022
7/23/2023,17.036452
7/24/2023,15.110714
7/25/2023,13.641821
7/26/2023,13.099647
7/27/2023,12.346054
7/28/2023,11.330061
7/29/2023,10.140289
7/30/2023,9.416341
7/31/2023,8.423175
8/1/2023,8.311406
8/2/2023,7.963165
8/3/2023,8.100908
8/4/2023,7.50008
8/5/2023,6.917313
8/6/2023,6.373464
8/7/2023,5.711361
8/8/2023,5.428419
8/9/2023,5.751267
8/10/2023,5.623931
8/11/2023,5.08256
8/12/2023,5.024166
8/13/2023,6.342448
8/14/2023,5.743329
8/15/2023,6.145179
8/16/2023,5.101546
8/17/2023,5.188828
8/18/2023,5.407606
8/19/2023,4.618427
8/20/2023,4.510741
8/21/2023,5.163616
8/22/2023,8.178199
8/23/2023,6.428403
8/24/2023,5.494392
8/25/2023,4.646519
8/26/2023,4.495831
8/27/2023,4.084729
8/28/2023,3.546244
8/29/2023,3.815072
8/30/2023,2.480018
8/31/2023,2.962681
9/1/2023,2.468531
9/2/2023,1.669476
9/3/2023,3.451189
9/4/2023,4.793816
9/5/2023,3.825219
9/6/2023,2.985394
9/7/2023,3.308934
9/8/2023,2.261737
9/9/2023,2.123357
9/10/2023,2.462605
9/11/2023,3.314551
9/12/2023,3.299667
9/13/2023,2.771019
9/14/2023,2.449983
9/15/2023,2.133334
9/16/2023,1.842328
9/17/2023,2.250707
9/18/2023,2.09968
9/19/2023,1.875209
9/20/2023,1.945058
9/21/2023,1.851443
9/22/2023,1.413763
9/23/2023,1.390433
9/24/2023,1.499609
9/25/2023,1.811322
9/26/2023,1.89001
9/27/2023,1.721234
9/28/2023,1.150948
9/29/2023,0.95661
9/30/2023,1.00806
