date,kaf
10/1/2023,1.40503
10/2/2023,1.879216
10/3/2023,1.740769
10/4/2023,1.618451
10/5/2023,1.544073
10/6/2023,1.530296
10/7/2023,1.155059
10/8/2023,1.447427
10/9/2023,1.262079
10/10/2023,1.454633
10/11/2023,1.391659
10/12/2023,0.612041
10/13/2023,1.338418
10/14/2023,1.487782
10/15/2023,0.769136
10/16/2023,0.863312
10/17/2023,1.110439
10/18/2023,1.130756
10/19/2023,1.482823
10/20/2023,1.356073
10/21/2023,1.02763
10/22/2023,1.487601
10/23/2023,1.15284
10/24/2023,0.966246
10/25/2023,1.121757
10/26/2023,1.248722
10/27/2023,1.083197
10/28/2023,0.999745
10/29/2023,0.981464
10/30/2023,0.838126
10/31/2023,0.95517
11/1/2023,0.977697
11/2/2023,1.104252
11/3/2023,0.701217
11/4/2023,0.735139
11/5/2023,1.192091
11/6/2023,0.988241
11/7/2023,1.986555
11/8/2023,1.650157
11/9/2023,0.567075
11/10/2023,1.172338
11/11/2023,1.105133
11/12/2023,1.022205
11/13/2023,0.949452
11/14/2023,0.950269
11/15/2023,1.023615
11/16/2023,1.146027
11/17/2023,1.378023
11/18/2023,1.464682
11/19/2023,1.772376
11/20/2023,2.156251
11/21/2023,1.165088
11/22/2023,1.141262
11/23/2023,1.338962
11/24/2023,1.283015
11/25/2023,1.134245
11/26/2023,0.823176
11/27/2023,0.870499
11/28/2023,1.097966
11/29/2023,0.743442
11/30/2023,1.012894
12/1/2023,0.874162
12/2/2023,1.027312
12/3/2023,0.877165
12/4/2023,0.905027
12/5/2023,1.062261
12/6/2023,0.89921
12/7/2023,0.820725
12/8/2023,0.721911
12/9/2023,0.891492
12/10/2023,0.628716
12/11/2023,0.624184
12/12/2023,0.462641
12/13/2023,0.692307
12/14/2023,0.82491
12/15/2023,0.915213
12/16/2023,1.051326
12/17/2023,1.124333
12/18/2023,0.935994
12/19/2023,1.945585
12/20/2023,2.867403
12/21/2023,2.245867
12/22/2023,1.839811
12/23/2023,1.565943
12/24/2023,1.221316
12/25/2023,1.091034
12/26/2023,1.134001
12/27/2023,1.082319
12/28/2023,1.146217
12/29/2023,1.065784
12/30/2023,1.127392
12/31/2023,1.235417
1/1/2024,1.084538
1/2/2024,0.890546
1/3/2024,1.341915
1/4/2024,1.474941
1/5/2024,1.102366
1/6/2024,1.254108
1/7/2024,1.470323
1/8/2024,0.983993
1/9/2024,0.930466
1/10/2024,0.99386
1/11/2024,1.651724
1/12/2024,1.373736
1/13/2024,1.319942
1/14/2024,1.16674
1/15/2024,1.561362
1/16/2024,1.55001
1/17/2024,1.551067
1/18/2024,2.03572
1/19/2024,1.692646
1/20/2024,1.54474
1/21/2024,2.981809
1/22/2024,1.942116
1/23/2024,3.178323
1/24/2024,2.193862
1/25/2024,2.140079
1/26/2024,2.483457
1/27/2024,1.904569
1/28/2024,1.844921
1/29/2024,2.261051
1/30/2024,2.067922
1/31/2024,2.222962
2/1/2024,2.803747
2/2/2024,5.842286
2/3/2024,4.002376
2/4/2024,3.633359
2/5/2024,8.229006
2/6/2024,7.332962
2/7/2024,5.588408
2/8/2024,5.208191
2/9/2024,4.094993
2/10/2024,3.290341
2/11/2024,3.004923
2/12/2024,2.489971
2/13/2024,2.425406
2/14/2024,2.747397
2/15/2024,3.380021
2/16/2024,3.162689
2/17/2024,2.78507
2/18/2024,3.063526
2/19/2024,4.328808
2/20/2024,13.075137
2/21/2024,7.073012
2/22/2024,5.420241
2/23/2024,4.5387
2/24/2024,4.651772
2/25/2024,3.163633
2/26/2024,3.388657
2/27/2024,3.350417
2/28/2024,3.29553
2/29/2024,3.193748
3/1/2024,3.836389
3/2/2024,5.563924
3/3/2024,8.846844
3/4/2024,6.443671
3/5/2024,4.655969
3/6/2024,4.336106
3/7/2024,4.170335
3/8/2024,3.891704
3/9/2024,3.891792
3/10/2024,3.627889
3/11/2024,3.431108
3/12/2024,3.550195
3/13/2024,3.21829
3/14/2024,5.193632
3/15/2024,3.753318
3/16/2024,3.991895
3/17/2024,3.644681
3/18/2024,4.409366
3/19/2024,4.910797
3/20/2024,5.821196
3/21/2024,6.846001
3/22/2024,6.7499
3/23/2024,7.781023
3/24/2024,8.030666
3/25/2024,6.716645
3/26/2024,4.969183
3/27/2024,4.898769
3/28/2024,4.992376
3/29/2024,7.394696
3/30/2024,6.412622
3/31/2024,7.474397
4/1/2024,5.605744
4/2/2024,5.339072
4/3/2024,5.877021
4/4/2024,7.383914
4/5/2024,8.884452
4/6/2024,7.887733
4/7/2024,6.962984
4/8/2024,6.332592
4/9/2024,6.232875
4/10/2024,6.317182
4/11/2024,8.165556
4/12/2024,9.657905
4/13/2024,10.844879
4/14/2024,10.686253
4/15/2024,9.632576
4/16/2024,8.069299
4/17/2024,9.443473
4/18/2024,11.453574
4/19/2024,13.42193
4/20/2024,15.02969
4/21/2024,16.106089
4/22/2024,14.841198
4/23/2024,19.459573
4/24/2024,20.141102
4/25/2024,18.996202
4/26/2024,15.838486
4/27/2024,15.020401
4/28/2024,12.809657
4/29/2024,13.348979
4/30/2024,15.700091
5/1/2024,16.451492
5/2/2024,16.734423
5/3/2024,16.301381
5/4/2024,17.264925
5/5/2024,17.665126
5/6/2024,14.575668
5/7/2024,11.943746
5/8/2024,11.500611
5/9/2024,11.263838
5/10/2024,12.818246
5/11/2024,12.691216
5/12/2024,14.063604
5/13/2024,16.403376
5/14/2024,19.305415
5/15/2024,19.487806
5/16/2024,21.520795
5/17/2024,22.400826
5/18/2024,23.503854
5/19/2024,23.710386
5/20/2024,21.730958
5/21/2024,20.29877
5/22/2024,16.902965
5/23/2024,17.015439
5/24/2024,16.52319
5/25/2024,16.390309
5/26/2024,14.931855
5/27/2024,15.072097
5/28/2024,16.355965
5/29/2024,17.431855
5/30/2024,17.361891
5/31/2024,17.550048
6/1/2024,18.030672
6/2/2024,16.440785
6/3/2024,16.307607
6/4/2024,15.738394
6/5/2024,14.909628
6/6/2024,16.457238
6/7/2024,16.697127
6/8/2024,17.594339
6/9/2024,15.891832
6/10/2024,13.117629
6/11/2024,14.326394
6/12/2024,13.357133
6/13/2024,12.393374
6/14/2024,12.022037
6/15/2024,10.467923
6/16/2024,9.2739
6/17/2024,8.327971
6/18/2024,7.361385
6/19/2024,6.862129
6/20/2024,5.746816
6/21/2024,5.260502
6/22/2024,5.243809
6/23/2024,6.049209
6/24/2024,6.392973
6/25/2024,7.546297
6/26/2024,7.283352
6/27/2024,6.54767
6/28/2024,5.817625
6/29/2024,4.694447
6/30/2024,4.593667
7/1/2024,4.351305
7/2/2024,4.262044
7/3/2024,4.350655
